x,y,is_wall
0.62,-0.4,1
0.76,0.36,1
0.79,-0.36,1
0.31,-0.4,1
-0.22,0.16,1
0.45,-0.41,1
0.62,-0.37,1
0.79,-0.33,1
0.31,-0.41,1
-0.22,0.15,1
0.73,0.13,1
-0.24,0.4,1
-0.24,-0.3,1
0.76,0.23,1
0.76,0.22,1
0.3,0.4,1
1.1,0.14,1
-0.22,0.13,1
-0.25,0.03,1
0.81,0.32,0
0.74,-0.4,1
0.76,0.2,1
1.33,0.03,1
0.93,0.16,1
1.37,0.11,1
0.57,0.37,1
1.7,-0.69,1
-0.25,-0.1,1
0.81,-0.39,1
0.74,0.33,1
0.71,-0.32,1
-0.22,0.11,1
-0.22,0.1,1
1.6,-0.64,1
-0.22,0.09,1
0.88,-0.34,0
0.67,0.38,1
0.56,0.39,1
1.36,0.13,1
-0.23,-0.37,1
-0.26,-0.27,1
0.75,0.16,1
0.71,-0.37,1
-0.22,0.06,1
-0.23,-0.38,1
0.93,-0.35,0
1.33,-0.22,1
0.62,0.37,1
1.05,0.13,1
1.3,-0.33,1
0.65,0.26,1
0.25,0.39,1
0.71,-0.4,1
-0.22,0.03,1
1.35,0.16,1
-0.21,-0.39,1
-0.24,0.41,1
-0.24,-0.29,1
0.73,0.14,1
-0.23,0.38,1
-0.25,-0.32,1
0.77,0.21,1
-0.2,-0.39,1
-0.22,0.01,1
1.35,0.14,1
0.76,0.21,1
-0.19,-0.39,1
0.55,0.39,1
1.35,0.13,1
-0.18,-0.39,1
-0.17,-0.39,1
0.53,0.38,1
0.91,0.13,1
0.11,0.39,1
-0.06,0.4,1
0.83,-0.34,1
0.72,0.38,1
-0.23,-0.05,1
1.34,-0.18,1
0.61,-0.39,1
0.66,-0.35,1
-0.16,-0.39,1
1.17,0.15,1
0.77,0.28,1
-0.15,-0.39,1
-0.14,-0.39,1
-0.13,-0.39,1
-0.12,-0.39,1
-0.11,-0.39,1
-0.1,-0.39,1
0.73,0.25,1
0.33,0.38,1
-0.24,-0.18,1
0.79,-0.37,1
0.76,0.35,1
-0.09,-0.39,1
-0.08,-0.39,1
-0.07,-0.39,1
-0.06,-0.39,1
0.74,0.32,1
-0.25,-0.11,1
